Algorithm,Benchmark,Benchmark_Base,Iterations,Vars,Locs,Edges,Atomic_Stmts,XCVA_Path,Log_Path
CEGAR_PRED_BTOR,cyclic_scheduler.2.prop1-func-interl.btor2,cyclic_scheduler.2,6,703,3,3,882,fight_xcfa\btor2-xcfa\cyclic_scheduler.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,cyclic_scheduler.4.prop1-back-serstep.btor2,cyclic_scheduler.4,6,1263,3,3,1582,fight_xcfa\btor2-xcfa\cyclic_scheduler.4.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,driving_phils.1.prop1-back-serstep.btor2,driving_phils.1,6,934,3,3,1091,fight_xcfa\btor2-xcfa\driving_phils.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,driving_phils.1.prop1-func-interl.btor2,driving_phils.1,6,934,3,3,1091,fight_xcfa\btor2-xcfa\driving_phils.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,driving_phils.2.prop1-back-serstep.btor2,driving_phils.2,6,974,3,3,1162,fight_xcfa\btor2-xcfa\driving_phils.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,driving_phils.2.prop1-func-interl.btor2,driving_phils.2,6,974,3,3,1162,fight_xcfa\btor2-xcfa\driving_phils.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,driving_phils.3.prop1-back-serstep.btor2,driving_phils.3,6,1270,3,3,1472,fight_xcfa\btor2-xcfa\driving_phils.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,driving_phils.3.prop1-func-interl.btor2,driving_phils.3,6,1270,3,3,1472,fight_xcfa\btor2-xcfa\driving_phils.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,driving_phils.4.prop1-back-serstep.btor2,driving_phils.4,6,1410,3,3,1645,fight_xcfa\btor2-xcfa\driving_phils.4.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,driving_phils.4.prop1-func-interl.btor2,driving_phils.4,6,1410,3,3,1645,fight_xcfa\btor2-xcfa\driving_phils.4.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
