Input Filename,Input Type,Algorithm,Iterations
mcs.4.prop1-func-interl.yml,BTOR2,BMC,6
mcs.5.prop1-back-serstep.yml,BTOR2,BMC,5
mcs.5.prop1-func-interl.yml,BTOR2,BMC,6
mcs.6.prop1-back-serstep.yml,BTOR2,BMC,5
mcs.6.prop1-func-interl.yml,BTOR2,BMC,5
msmie.1.prop1-back-serstep.yml,BTOR2,BMC,4
msmie.1.prop1-func-interl.yml,BTOR2,BMC,5
msmie.2.prop1-back-serstep.yml,BTOR2,BMC,4
msmie.2.prop1-func-interl.yml,BTOR2,BMC,4
msmie.3.prop1-back-serstep.yml,BTOR2,BMC,4
msmie.3.prop1-func-interl.yml,BTOR2,BMC,4
msmie.4.prop1-back-serstep.yml,BTOR2,BMC,3
msmie.4.prop1-func-interl.yml,BTOR2,BMC,4
needham.1.prop1-back-serstep.yml,BTOR2,BMC,5
needham.1.prop1-func-interl.yml,BTOR2,BMC,6
needham.1.prop2-back-serstep.yml,BTOR2,BMC,5
needham.1.prop2-func-interl.yml,BTOR2,BMC,6
needham.1.prop3-back-serstep.yml,BTOR2,BMC,6
needham.1.prop3-func-interl.yml,BTOR2,BMC,6
needham.1.prop4-back-serstep.yml,BTOR2,BMC,5
needham.1.prop4-func-interl.yml,BTOR2,BMC,6
needham.2.prop1-back-serstep.yml,BTOR2,BMC,4
needham.2.prop1-func-interl.yml,BTOR2,BMC,4
needham.2.prop2-back-serstep.yml,BTOR2,BMC,4
needham.2.prop2-func-interl.yml,BTOR2,BMC,5
needham.2.prop3-back-serstep.yml,BTOR2,BMC,4
needham.2.prop3-func-interl.yml,BTOR2,BMC,4
needham.2.prop4-back-serstep.yml,BTOR2,BMC,4
needham.2.prop4-func-interl.yml,BTOR2,BMC,5
needham.3.prop1-back-serstep.yml,BTOR2,BMC,4
needham.3.prop1-func-interl.yml,BTOR2,BMC,5
